試合日時,Season,Kind,後攻チーム,先攻チーム,プレイの番号,回,表.裏,先攻得点,後攻得点,S,B,アウト,打席の継続,イニング継続,試合継続,一走打順,一走氏名,二走打順,二走氏名,三走打順,三走氏名,打順,打者氏名,打席左右,作戦,作戦2,作戦結果,投手氏名,投手左右,球数,捕手,一走状況,二走状況,三走状況,打者状況,プレイの種類,構え,コースX,コースY,球種,打撃結果,打撃結果2,捕球選手,打球タイプ,打球強度,打球位置X,打球位置Y,牽制の種類,牽制詳細,エラーの種類,タイムの種類,球速,プレス,偽走,打者位置,打席Id,打席結果,Result_col,打者登録名,打者番号,一走登録名,一走番号,二走登録名,二走番号,三走登録名,三走番号,投手番号,入力項目,先攻打順,後攻打順,URL,start_tag_sec,target_x,target_z,守備チーム,score,comment
2025/9/20,秋季,リーグ戦,帝京大学,筑波大学,17,1,裏,0,0,0,0,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,中山鳳,左,0,0,0,山田幹太,右,1,西川鷹晴,0,0,0,継続,投球,17,38.7925,190.675,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,132,0,0,9,,0,0,0,31,0,0,0,0,0,0,16,0,5,1:26,https://www.youtube.com/embed/CRXewBanquc?si=BnmPHf8zcJuupG3D,86 ,,,筑波大学,-,-
2025/9/20,秋季,リーグ戦,帝京大学,筑波大学,18,1,裏,0,0,0,1,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,中山鳳,左,0,0,0,山田幹太,右,2,西川鷹晴,0,0,0,継続,投球,17,134.7875,31.56,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,137,0,0,9,,0,0,0,31,0,0,0,0,0,0,16,0,5,1:35,https://www.youtube.com/embed/CRXewBanquc?si=BnmPHf8zcJuupG3D,95 ,,,筑波大学,-,-
2025/9/20,秋季,リーグ戦,帝京大学,筑波大学,19,1,裏,0,0,0,2,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,1,中山鳳,左,0,0,0,山田幹太,右,3,西川鷹晴,0,0,0,継続,投球,17,156.485,159.115,ストレート,見逃し,0,0,0,0,0,0,0,0,0,0,134,0,0,9,,0,0,0,31,0,0,0,0,0,0,16,0,5,1:48,https://www.youtube.com/embed/CRXewBanquc?si=BnmPHf8zcJuupG3D,108 ,,,筑波大学,-,-
2025/9/20,秋季,リーグ戦,帝京大学,筑波大学,20,1,裏,0,0,1,2,0,打席完了,イニング継続,試合継続,0,0,0,0,0,0,1,中山鳳,左,0,0,0,山田幹太,右,4,西川鷹晴,0,0,0,アウト,投球,17,101.255,163.7175,ツーシーム,凡打死,0,7,フライ,C,63.09501188,107.4489311,0,0,0,0,132,0,0,9,,7フライ,0,0,31,0,0,0,0,0,0,16,0,5,2:00,https://www.youtube.com/embed/CRXewBanquc?si=BnmPHf8zcJuupG3D,120 ,,,筑波大学,-,-
2025/9/20,秋季,リーグ戦,帝京大学,筑波大学,21,1,裏,0,0,0,0,1,打席継続,イニング継続,試合継続,0,0,0,0,0,0,2,山本涼貴,左,0,0,0,山田幹太,右,5,西川鷹晴,0,0,0,継続,投球,19,157.1425,156.485,スライダー,見逃し,0,0,0,0,0,0,0,0,0,0,124,0,0,7,,0,0,0,2,0,0,0,0,0,0,16,0,5,2:25,https://www.youtube.com/embed/CRXewBanquc?si=BnmPHf8zcJuupG3D,145 ,,,筑波大学,-,-
2025/9/20,秋季,リーグ戦,帝京大学,筑波大学,22,1,裏,0,0,1,0,1,打席継続,イニング継続,試合継続,0,0,0,0,0,0,2,山本涼貴,左,0,0,0,山田幹太,右,6,西川鷹晴,0,0,0,継続,投球,18,162.4025,210.4,フォーク,空振り,0,0,0,0,0,0,0,0,0,0,128,0,0,7,,0,0,0,2,0,0,0,0,0,0,16,0,5,2:34,https://www.youtube.com/embed/CRXewBanquc?si=BnmPHf8zcJuupG3D,154 ,,,筑波大学,-,-
2025/9/20,秋季,リーグ戦,帝京大学,筑波大学,23,1,裏,0,0,2,0,1,打席継続,イニング継続,試合継続,0,0,0,0,0,0,2,山本涼貴,左,0,0,0,山田幹太,右,7,西川鷹晴,0,0,0,継続,投球,16,59.8325,144.65,ストレート,ファール,0,0,フライ,0,101.2019002,253.6294537,0,0,0,0,134,0,0,7,,0,0,0,2,0,0,0,0,0,0,16,0,5,2:47,https://www.youtube.com/embed/CRXewBanquc?si=BnmPHf8zcJuupG3D,167 ,,,筑波大学,-,-
2025/9/20,秋季,リーグ戦,帝京大学,筑波大学,24,1,裏,0,0,2,0,1,打席継続,イニング継続,試合継続,0,0,0,0,0,0,2,山本涼貴,左,0,0,0,山田幹太,右,8,西川鷹晴,0,0,0,継続,投球,17,95.3375,180.8125,フォーク,ファール,0,0,ゴロ,0,181.1638955,203.6532067,0,0,0,0,127,0,0,7,,0,0,0,2,0,0,0,0,0,0,16,0,5,3:05,https://www.youtube.com/embed/CRXewBanquc?si=BnmPHf8zcJuupG3D,185 ,,,筑波大学,-,-
2025/9/20,秋季,リーグ戦,帝京大学,筑波大学,25,1,裏,0,0,2,0,1,打席継続,イニング継続,試合継続,0,0,0,0,0,0,2,山本涼貴,左,0,0,0,山田幹太,右,9,西川鷹晴,0,0,0,継続,投球,17,45.3675,117.6925,ツーシーム,ボール,0,0,0,0,0,0,0,0,0,0,132,0,0,7,,0,0,0,2,0,0,0,0,0,0,16,0,5,3:28,https://www.youtube.com/embed/CRXewBanquc?si=BnmPHf8zcJuupG3D,208 ,,,筑波大学,-,-
2025/9/20,秋季,リーグ戦,帝京大学,筑波大学,26,1,裏,0,0,2,1,1,打席完了,イニング継続,試合継続,0,0,0,0,0,0,2,山本涼貴,左,0,0,0,山田幹太,右,10,西川鷹晴,0,0,0,アウト,投球,17,156.485,193.305,フォーク,凡打死,0,1,ゴロ,C,142.432304,201.7790974,0,0,0,0,127,0,0,7,,1ゴロ,0,0,2,0,0,0,0,0,0,16,0,5,3:46,https://www.youtube.com/embed/CRXewBanquc?si=BnmPHf8zcJuupG3D,226 ,,,筑波大学,-,-
