試合日時,Season,Kind,後攻チーム,先攻チーム,プレイの番号,回,表.裏,先攻得点,後攻得点,S,B,アウト,打席の継続,イニング継続,試合継続,一走打順,一走氏名,二走打順,二走氏名,三走打順,三走氏名,打順,打者氏名,打席左右,作戦,作戦2,作戦結果,投手氏名,投手左右,球数,捕手,一走状況,二走状況,三走状況,打者状況,プレイの種類,構え,コースX,コースY,球種,打撃結果,打撃結果2,捕球選手,打球タイプ,打球強度,打球位置X,打球位置Y,牽制の種類,牽制詳細,エラーの種類,タイムの種類,球速,プレス,偽走,打者位置,打席Id,打席結果,Result_col,打者登録名,打者番号,一走登録名,一走番号,二走登録名,二走番号,三走登録名,三走番号,投手番号,入力項目,先攻打順,後攻打順,URL,start_tag_sec,target_x,target_z,守備チーム,score,comment
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,208,6,裏,4,3,1,0,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,5,山下龍斗,右,0,0,0,佐々木裕平,右,2,田代旭,0,0,0,継続,投球,8,126.8975,36.82,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,111,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,1,5,1:49:29,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1077,121.6375,82.845,筑波大学,-,-
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,209,6,裏,4,3,1,1,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,5,山下龍斗,右,0,0,0,佐々木裕平,右,3,田代旭,0,0,0,継続,投球,18,230.7825,186.0725,ストレート,ボール,0,0,0,0,0,0,0,0,0,0,112,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,1,5,1:49:39,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1082,170.95,109.8025,筑波大学,-,-
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,210,6,裏,4,3,1,2,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,5,山下龍斗,右,0,0,0,佐々木裕平,右,4,田代旭,0,0,0,継続,投球,19,176.8675,39.45,スライダー,ボール,0,0,0,0,0,0,0,0,0,0,101,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,1,5,1:49:48,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1088,146.6225,134.13,筑波大学,-,-
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,211,6,裏,4,3,1,3,0,打席完了,イニング継続,試合継続,0,0,0,0,0,0,5,山下龍斗,右,0,0,0,佐々木裕平,右,5,田代旭,0,0,0,出塁,投球,19,230.125,136.76,ストレート,四球,0,0,0,0,0,0,0,0,0,0,118,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,1,5,1:50:02,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1094,134.13,133.4725,筑波大学,-,-
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,213,6,裏,4,3,0,0,0,打席継続,イニング継続,試合継続,5,山下龍斗,0,0,0,0,6,竹内翔汰,左,0,0,0,佐々木裕平,右,6,田代旭,継続,0,0,継続,投球,18,115.72,225.5225,カット,ボール,0,0,0,0,0,0,0,0,0,0,109,0,0,9,0,0,0,23,0,0,0,0,0,0,4,0,1,6,1:50:48,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1104,111.1175,145.965,筑波大学,-,-
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,214,6,裏,4,3,0,1,0,打席継続,イニング継続,試合継続,5,山下龍斗,0,0,0,0,6,竹内翔汰,左,0,0,0,佐々木裕平,右,7,田代旭,継続,0,0,継続,投球,17,158.4575,184.7575,ストレート,見逃し,0,0,0,0,0,0,0,0,0,0,117,0,0,9,0,0,0,23,0,0,0,0,0,0,4,0,1,6,1:51:15,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1114,90.735,153.855,筑波大学,-,-
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,215,6,裏,4,3,1,1,0,打席継続,イニング継続,試合継続,5,山下龍斗,0,0,0,0,6,竹内翔汰,左,0,0,0,佐々木裕平,右,8,田代旭,継続,0,0,継続,投球,18,162.4025,167.005,カット,ファール,0,0,ゴロ,0,204.2779097,174.2921615,0,0,0,0,108,0,0,9,0,0,0,23,0,0,0,0,0,0,4,0,1,6,1:51:28,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1122,130.8425,149.91,筑波大学,-,-
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,216,6,裏,4,3,2,1,0,打席完了,イニング継続,試合継続,5,山下龍斗,0,0,0,0,6,竹内翔汰,左,0,0,0,佐々木裕平,右,9,田代旭,継続,0,0,アウト,投球,17,90.0775,120.98,ツーシーム,凡打死,0,7,フライ,B,68.71733967,102.4513064,0,0,0,0,120,0,0,9,0,0,0,23,0,0,0,0,0,0,4,0,1,6,1:51:53,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1135,68.38,159.115,筑波大学,-,-
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,218,6,裏,4,3,0,0,1,打席完了,イニング継続,試合継続,5,山下龍斗,0,0,0,0,7,森球紀,左,エンドラン,HAR,0,佐々木裕平,右,10,田代旭,二進,0,0,アウト,投球,18,147.28,165.69,カット,凡打死,0,4,ゴロ,C,164.9216152,154.9263658,0,0,0,0,111,0,0,4,0,0,0,2,0,0,0,0,0,0,4,0,1,7,1:52:55,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1156,132.1575,81.53,筑波大学,-,-
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,219,6,裏,4,3,0,0,2,打席継続,イニング継続,試合継続,0,0,5,山下龍斗,0,0,8,渡邉翔太,右,0,0,0,佐々木裕平,右,11,田代旭,0,継続,0,継続,投球,19,249.1925,129.5275,カット,ボール,0,0,0,0,0,0,0,0,0,0,113,0,0,2,0,0,0,29,0,0,0,0,0,0,4,0,1,8,1:53:33,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1172,129.5275,76.27,筑波大学,-,-
